Word Length, Fractional Bits, Prediction phase, avg Prediction accuracy, min Prediction accuracy, avg w1, avg b1, avg w2, avg b2, avg w2, avg b3, min w1, min b1, min w2, min b2, min w2, min b3
32, 15, 0.9, 1, 1, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 16, 0.9, 1, 0.999999, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 17, 0.9, 1, 0.999996, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 18, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 19, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 20, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 21, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 22, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 23, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
32, 24, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
